url,url_year,url_semester
https://urnik.fri.uni-lj.si/timetable/fri-2019_2020-letni-1-9,19/20,2
https://urnik.fri.uni-lj.si/timetable/fri-2019_2020-zimski-1-1,19/20,1
https://urnik.fri.uni-lj.si/timetable/fri-2020_2021-letni-1-9,20/21,2
https://urnik.fri.uni-lj.si/timetable/fri-2020_2021-zimski-1-10,20/21,1
https://urnik.fri.uni-lj.si/timetable/fri-2021_2022-letni-1-1,21/22,2
https://urnik.fri.uni-lj.si/timetable/fri-2021_2022-zimski-1-1,21/22,1
https://urnik.fri.uni-lj.si/timetable/fri-2022_2023-letni-1-10,22/23,2
https://urnik.fri.uni-lj.si/timetable/fri-2022_2023-zimski-1-1,22/23,1
https://urnik.fri.uni-lj.si/timetable/fri-2023_2024-letni-1-17,23/24,2
https://urnik.fri.uni-lj.si/timetable/fri-2023_2024-zimski-1-12,23/24,1
https://urnik.fri.uni-lj.si/timetable/fri-2024_2025-letni,24/25,2
https://urnik.fri.uni-lj.si/timetable/fri-2024_2025-zimski,24/25,1
